"Category Cascade","Category Cascade"
"Cascade","Cascade"
"Cascade disable to subcategories","Cascade disable to subcategories"
"Confirm before a cascading save","Confirm before a cascading save"
"Log cascades","Log cascades"
"Admin Tree Product Count","Admin Tree Product Count"
"Count products from the category index","Count products from the category index"
"Category Cascade Section","Category Cascade Section"
"Disabling this category will also disable %1 enabled subcategories below it. Enabling it again later will not turn them back on. Save anyway?","Disabling this category will also disable %1 enabled subcategories below it. Enabling it again later will not turn them back on. Save anyway?"
